"","year","gp","country","log_senti","salience"
"1",1994,"USA","Czechia",-0.67116827384117,1.8935047050723
"2",1994,"FR","Czechia",0,0.45903144365389
"3",1994,"DE","Czechia",-0.159759219486868,6.19692448932752
"4",1994,"RU","Czechia",0.23638877806423,2.12302042689924
"5",1994,"UK","Czechia",0.143100843640673,0.77461556116594
"6",1994,"CN","Czechia",-0.587786664902119,0.258205187055313
"7",1995,"DE","Czechia",-0.665640534770112,7.97146550485948
"8",1995,"FR","Czechia",-0.0555698511548108,1.72356010915881
"9",1995,"RU","Czechia",0.264301623807717,5.74520036386269
"10",1995,"UK","Czechia",-0.176930708159078,1.14904007277254
"11",1995,"USA","Czechia",-0.0400053346136991,2.20232680614736
"12",1995,"CN","Czechia",0.310154928303839,0.430890027289702
"13",1996,"DE","Czechia",-0.843178390091965,8.52585258525853
"14",1996,"RU","Czechia",-0.291910408561302,2.24605793912725
"15",1996,"USA","Czechia",-0.326396584632471,2.88778877887789
"16",1996,"UK","Czechia",-0.158224005214894,1.74184085075174
"17",1996,"FR","Czechia",1.28519824424852,7.9987165383205
"18",1996,"CN","Czechia",0.646627164925052,0.595892922625596
"19",1997,"FR","Czechia",0.990398704027877,3
"20",1997,"DE","Czechia",-0.440761514897541,34.3421052631579
"21",1997,"CN","Czechia",0.743578034186837,0.789473684210526
"22",1997,"USA","Czechia",0,2.75
"23",1997,"UK","Czechia",0.100083458556983,2.07894736842105
"24",1997,"RU","Czechia",0.0856137527229917,3.43421052631579
"25",1998,"DE","Czechia",-0.458717266981048,12.497647280256
"26",1998,"RU","Czechia",0.778209619103794,5.00658761528327
"27",1998,"FR","Czechia",0.793951879681911,6.86994165255035
"28",1998,"USA","Czechia",-0.123444191091122,5.45830980613589
"29",1998,"UK","Czechia",0.227389842195661,1.91981931112366
"30",1998,"CN","Czechia",0.969400557188103,0.470543948804818
"31",1999,"DE","Czechia",-0.951287573911251,7.21380680407251
"32",1999,"RU","Czechia",0.587786664902119,1.89967717904147
"33",1999,"UK","Czechia",0.135341347869762,1.60168860193693
"34",1999,"USA","Czechia",0.402877784543213,3.33995530171343
"35",1999,"FR","Czechia",0.291520848758947,2.14800099329526
"36",1999,"CN","Czechia",0.510825623765991,0.658058107772535
"37",2000,"DE","Czechia",-0.920725328942021,7.02303288510185
"38",2000,"UK","Czechia",-0.537142932083364,1.83064838237252
"39",2000,"FR","Czechia",0.302280871872934,0.981893223272534
"40",2000,"USA","Czechia",0.771399377459693,2.21342031686859
"41",2000,"RU","Czechia",0.28312625591592,1.46451870589802
"42",2000,"CN","Czechia",-0.78845736036427,0.183064838237252
"43",2001,"DE","Czechia",-0.830157644303549,9.77009266079944
"44",2001,"CN","Czechia",-0.847297860387204,0.258468059809509
"45",2001,"FR","Czechia",0.615760516944525,2.0031274635237
"46",2001,"UK","Czechia",0,2.32621253828558
"47",2001,"USA","Czechia",0.326091520566652,2.19697850838083
"48",2001,"RU","Czechia",-0.0875558910243196,3.15331032967601
"49",2002,"DE","Czechia",-0.780420577726628,6.31989838594752
"50",2002,"RU","Czechia",0.303380981994885,2.35447194770594
"51",2002,"FR","Czechia",0.397301797469003,5.2665819882896
"52",2002,"USA","Czechia",0.124190380231384,4.41463490194864
"53",2002,"CN","Czechia",0.78845736036427,0.123919576195049
"54",2002,"UK","Czechia",-0.0678225963387611,1.71938411970631
"55",2003,"USA","Czechia",0.195060582571384,5.6193360432044
"56",2003,"UK","Czechia",-0.0347861160854155,2.08422095045081
"57",2003,"CN","Czechia",-0.167054084663166,0.161210460255864
"58",2003,"RU","Czechia",0,2.64845756134634
"59",2003,"DE","Czechia",-0.929089828792997,8.92415047844962
"60",2003,"FR","Czechia",1.50122432779387,2.65997259422176
"61",2004,"FR","Czechia",1.0277862360995,1.75113039387366
"62",2004,"USA","Czechia",0.652509534828119,4.28634902381015
"63",2004,"DE","Czechia",-0.721878438600426,7.09599853636863
"64",2004,"RU","Czechia",-0.37204911118832,1.96022059015708
"65",2004,"UK","Czechia",-0.139112802462718,1.39829068764538
"66",2004,"CN","Czechia",1.09861228866811,0.16988578448028
"67",2005,"USA","Czechia",0.587786664902119,3.34787221501827
"68",2005,"UK","Czechia",-0.270545790208794,2.71130496286691
"69",2005,"RU","Czechia",0.0285733724440559,1.3910173287752
"70",2005,"DE","Czechia",-0.670307688590123,4.53848874219026
"71",2005,"FR","Czechia",1.3798634707896,2.58163385594719
"72",2005,"CN","Czechia",-0.093090423066012,0.695508664387599
"73",2006,"DE","Czechia",-0.157467432453252,4.505490496516
"74",2006,"UK","Czechia",-0.158224005214894,1.14917368939477
"75",2006,"FR","Czechia",0.847297860387204,1.09445113275692
"76",2006,"USA","Czechia",0.183519879286063,6.11068549122615
"77",2006,"RU","Czechia",-0.148420005118273,2.35306993542738
"78",2006,"CN","Czechia",1.00097381910419,2.37131078764
"79",2007,"USA","Czechia",0.136575535005751,16.79098453292
